ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
79677,GAN,15,35.4553,133.29,8.3,2012-01-14,18:10,2012-01-14,09:10,-9999,,,"over 1/2 of sky","Orion","","","Japan"
79678,GAN,17,32.7678,-117.023,161.2,2012-01-14,00:00,2012-01-14,08:00,3,,,"clear","Orion","","Saw 8 stars total in for Orion above my house.","United States - California"
79679,GAN,18,35.2425,139.689,2.91,2012-01-14,20:32,2012-01-14,11:32,3,,,"clear","Orion","","","Japan"
79680,SQM,19,36.1383,137.938,680.05,2012-01-14,20:47,2012-01-14,11:47,5,18.9,1.14,"1/4 of sky","Orion","","","Japan"
79681,GAN,20,35.5669,139.586,42.06,2012-01-14,20:58,2012-01-14,11:58,3,,,"clear","Orion","","suburban","Japan"
79682,SQM,22,36.1391,137.957,681.9,2012-01-14,21:10,2012-01-14,12:10,5,18.91,1189,"clear","Orion","","","Japan"
79683,GAN,23,35.9949,128.414,50.35,2012-01-14,22:13,2012-01-14,13:13,3,,,"clear","Orion","Lots of skyglow to the southeast (direction Deagu) bright skyglow up to a fist at arms length from the horizon upwards.    Similar amount to the Northwest (Gumi / Chilgok)","Small military base in a somewhat small town","South Korea"
79684,SQM,24,49.1928,20.8241,550.85,2012-01-14,22:30,2012-01-14,21:30,6,21.23,,"clear","Orion","","","Slovakia"
79685,GAN,25,35.5649,-78.6682,77.81,2012-01-14,00:00,2012-01-14,05:00,2,,,"clear","Orion","","street lights have no tops on them. light goes everywhere.","United States - North Carolina"
79686,GAN,30,18.4927,73.8336,559.08,2012-01-14,20:21,2012-01-14,14:51,3,,,"clear","Orion","Very Clear, winter sky. No Haze, 100% visibility.","Urban Location.  3-4 Streetlights.  Observed from 3rd floor.  A small hill next to observation point.","India"
79687,GAN,34,26.2958,50.1551,45.05,2012-01-14,18:58,2012-01-14,15:58,2,,,"clear","Orion","","There are a lot of light posts and trees in this suburban area t","Saudi Arabia"
79688,SQM,35,56.1642,15.5911,9.83,2012-01-14,18:03,2012-01-14,17:03,5,19.62,6454,"clear","Orion","Verk clearing sky. Good seeing and Good transparent.","Stadig on the rooftop in downtown Karlskrona.","Sweden"
79689,GAN,36,49.3843,8.80463,151.24,2012-01-14,18:00,2012-01-14,17:00,-9999,,,"over 1/2 of sky","Orion","Teh sky wasn't that clear and also I couln't see much stars. Maybe one or two.","Two streetslights in distant of maybe circa 30-40 meters.","Germany"
79690,SQM,37,26.4696,50.0615,3.59,2012-01-14,20:26,2012-01-14,17:26,3,8,,"1/4 of sky","Orion","Clouds are moving west stars were scattered around","Little light is pResent with some trees","Saudi Arabia"
79691,GAN,38,43.2622,26.9393,206.55,2012-01-14,19:30,2012-01-14,17:30,4,,,"clear","Orion","","","Bulgaria"
79692,GAN,39,26.2688,50.2045,14.66,2012-01-14,20:38,2012-01-14,17:38,-9999,,,"clear","Orion","It was clear- no clouds but starry.  I could see the planet Venus from where I live.","","Saudi Arabia"
79693,GAN,40,27.0126,49.6581,6.74,2012-01-14,20:43,2012-01-14,17:43,2,,,"clear","Orion","Just normal.","","Saudi Arabia"
79694,GAN,41,26.3086,50.1474,60.35,2012-01-14,20:44,2012-01-14,17:44,-9999,,,"clear","Orion","It was clear- no clouds but starry.  I could see the planet Venus from where I live.","suburban","Saudi Arabia"
79695,GAN,42,26.2949,50.2089,17.15,2012-01-14,20:55,2012-01-14,17:55,3,,,"clear","Orion","clear sky","Urban, many lights (20+), 7 trees","Saudi Arabia"
79696,GAN,43,49.3427,8.75225,222.35,2012-01-14,18:30,2012-01-14,17:30,-9999,,,"over 1/2 of sky","Orion","nearly overcast","suburban","Germany"
79697,SQM,44,24.6408,46.7728,609.69,2012-01-14,21:07,2012-01-14,18:07,2,13,1456,"1/2 of sky","Orion","The sky has a hfair amount of clouds the moon is shining but not many stars","urban no snow cover 10 street lights vending machine power station many miles away many trees construction areas including contrucktion park many trees and structures in vincity.","Saudi Arabia"
79698,SQM,45,26.3927,49.9777,6.02,2012-01-14,20:53,2012-01-14,17:53,2,13,1456,"clear","Orion","There is no haze and there are no clouds currently in the sky.","The local is urban, there is no snow cover, the light sources are streetlights and construction areas. A few trees and a couple of houses and buildings.","Saudi Arabia"
79699,SQM,46,26.4258,50.1142,10.66,2012-01-14,20:52,2012-01-14,17:52,2,13,3697,"clear","Orion","the sky is a bit full with stars and clesr sky and a bit dark","there are many trees buldings constructions it is very crowded with lots of small shops and supermarkets parks","Saudi Arabia"
79700,GAN,47,52.3117,-2.59597,55.71,2012-01-14,18:15,2012-01-14,18:15,4,,,"1/4 of sky","Orion","the clouds have rolled away to reveal a clear sky in the direction of Orion. The horizon is not visible from here, but Venus is very clear along with Jupiter.","urban community with orange street lights, three in close range. Lots of trees and buildings surrounding our view point.","United Kingdom"
79701,GAN,48,49.191,16.6115,215.15,2012-01-14,19:30,2012-01-14,18:30,4,,,"clear","Orion","I waited to clear sky. No Moon.","Urban location. No snow. From 3rd floor, facing street, visible 5 lamps of street lighting (5 to 80 meters away), about 20 lighted windows of neighboring apartments (about 150 meters away) and lighted church tower (170 meters away). Largely 5-storey buildings in the vicinity.","Czech Republic"
79702,GAN,49,50.2392,18.1858,202.14,2012-01-14,19:29,2012-01-14,18:29,-9999,,,"over 1/2 of sky","Orion","full sky of clouds, little snowing","Rural, Snow cover, 1 streetlight, fiealds, PSPLany","Poland"
79703,GAN,50,46.7514,20.7931,84.1,2012-01-14,19:33,2012-01-14,18:33,4,,,"clear","Orion","","","Hungary"
79704,GAN,51,49.1913,16.617,204.72,2012-01-14,19:30,2012-01-14,18:30,4,,,"clear","Orion","I waited to clear sky. No Moon.","Urban location. No snow. From 3rd floor, facing street, visible 5 lamps of street lighting (5 to 80 meters away), about 20 lighted windows of neighboring apartments (about 150 meters away) and lighted church tower (170 meters away). Largely 5-storey buildings in the vicinity.","Czech Republic"
79705,GAN,52,23.8858,46.5625,1021.44,2012-01-14,21:47,2012-01-14,18:47,1,,,"clear","Orion","there werent atleast two or three stars in saudia arbia sky and the moon was shining bright in the middle of the sky","","Saudi Arabia"
79706,SQM,53,25.7999,50.0781,1.57,2012-01-14,21:43,2012-01-14,18:43,-9999,13,,"clear","Orion","the sky was clear there is no clouds.","there is no streegtlights .","Saudi Arabia"
79707,GAN,54,46.9538,7.56322,619.92,2012-01-14,19:29,2012-01-14,18:29,3,,,"1/4 of sky","Orion","","","Switzerland"
79708,GAN,55,53.0334,18.609,65.51,2012-01-14,18:52,2012-01-14,17:52,5,,,"clear","Orion","","on the cemetery where there was not much streetlight","Poland"
79709,GAN,56,61.5972,5.08257,75.71,2012-01-14,20:10,2012-01-14,19:10,-9999,,,"over 1/2 of sky","Orion","","","Norway"
79710,SQM,57,45.5647,5.89924,279.21,2012-01-14,20:05,2012-01-14,19:05,5,18.95,,"clear","Orion","Haze","Suburban","France"
79711,GAN,58,47.5722,19.1,110.59,2012-01-14,20:02,2012-01-14,19:02,4,,,"1/4 of sky","Orion","Wind: WNW at 37 km/h","suburban location","Hungary"
79712,GAN,59,41.7759,-88.1699,210.02,2012-01-14,00:00,2012-01-14,06:00,3,,,"1/4 of sky","Orion","wispy clouds west to east","suburban, slightly cloudy, 3 inch snow cover, one street light and 3 porch lights.","United States - Illinois"
79713,GAN,60,50.4047,8.24479,164.33,2012-01-14,20:30,2012-01-14,19:30,4,,,"1/4 of sky","Orion","","","Germany"
79714,GAN,61,45.4819,-122.8,60.7,2012-01-14,20:45,2012-01-15,04:45,5,,,"clear","Orion","I was looking to the east while travelling in a southernly direction. Some light fog or haze. The date of this observation was 2012/01/12. Your date indicator will not let me post this.","I observed Orion at two locations. The first in the city of Portland, the second in Beaverton, both in Oregon. No snow but about 35 degrees. In  both locations there was street and business lights. The city of Beaverton location has many more trees than Portland.","United States - Oregon"
79715,GAN,62,41.1438,22.5008,62.83,2012-01-14,20:35,2012-01-14,19:35,4,,,"clear","Orion","clear","urban location","Macedonia (FYROM)"
79716,GAN,63,10.5498,-61.3544,17.92,2012-01-14,22:02,2012-01-15,02:02,1,,,"clear","Orion","","","Trinidad and Tobago"
79717,GAN,64,24.6408,46.7728,609.69,2012-01-14,23:03,2012-01-14,20:03,1,,,"over 1/2 of sky","Orion","","","Saudi Arabia"
79718,SQM,65,47.2456,-0.0933998,40.44,2012-01-14,20:56,2012-01-14,19:56,5,19.8,4000,"clear","Orion","","suburban","France"
79719,GAN,66,50.415,8.22554,191.63,2012-01-14,20:30,2012-01-14,19:30,-9999,,,"over 1/2 of sky","Orion","http://www.globeatnight.org/webapp/#q4","hessen","Germany"
79720,GAN,67,50.4596,8.09398,231.32,2012-01-14,20:48,2012-01-14,19:48,3,,,"1/4 of sky","Orion","A littel haze over the Orions Belt.  At 08:48 PM, i see a falling star under the Orions Belt.","There is one street light within 150m. The location was a field path.","Germany"
79721,GAN,68,52.5347,12.3029,30.6,2012-01-14,21:01,2012-01-14,20:01,5,,,"clear","Orion","","1 Straenlaterne 20 m,    nicht direkt sichtbar, Wohnbereich Hof","Germany"
79722,GAN,69,53.5074,-2.249,64.13,2012-01-14,20:04,2012-01-14,20:04,3,,,"clear","Orion","The sky is very clear","Its urban location with 2 parks and lots of street lamps","United Kingdom"
79723,GAN,70,50.3887,8.1951,158.59,2012-01-14,21:00,2012-01-14,20:00,5,,,"clear","Orion","a little  haze round","There are 3 street lights within 50 m a round of me.","Germany"
79724,GAN,71,59.9128,10.7808,56.64,2012-01-14,21:26,2012-01-14,20:26,-9999,,,"over 1/2 of sky","Orion","","","Norway"
79725,GAN,72,48.8797,2.23399,38.26,2012-01-14,21:19,2012-01-14,20:19,3,,,"clear","Orion","clear with usual parisian skyglow.  It never gets dark in Paris.","Urban.","France"
79726,GAN,73,48.5689,1.50295,134.08,2012-01-14,21:24,2012-01-14,20:24,5,,,"clear","Orion","","","France"
79727,SQM,74,41.345,21.5621,659.06,2012-01-14,20:05,2012-01-14,19:05,4,18.63,3930,"clear","Orion","No clouds. The sky is clear.","Urban location. There is snow cover, it is very cold wheather. There are two streetlights 50m away.","Macedonia (FYROM)"
79728,GAN,75,50.4,8.19583,167.65,2012-01-14,20:50,2012-01-14,19:50,4,,,"clear","Orion","clear","fife streetlights in ca 50 m around of our garden.","Germany"
79729,SQM,76,41.346,21.5619,656.73,2012-01-14,20:15,2012-01-14,19:15,3,17.42,3930,"clear","Orion","No clouds. The sky is clear.","Urban location. There is snow cover, it is very cold weather. There are four streetlights 50m away on the different sides. On the parking place near the building.","Macedonia (FYROM)"
79730,GAN,77,41.6731,2.28616,224.19,2012-01-14,21:49,2012-01-14,20:49,4,,,"clear","Orion","","small urban location","Spain"
79731,SQM,78,41.3466,21.5578,654.35,2012-01-14,20:31,2012-01-14,19:31,-9999,13.86,3930,"clear","Orion","No clouds. The sky is clear.","Urban location. There is snow cover, it is very cold weather. There are many lights from the house which is decorated by New Year.","Macedonia (FYROM)"
79732,SQM,79,41.3455,21.5541,653.78,2012-01-14,21:01,2012-01-14,20:01,1,15.99,3930,"clear","Orion","No clouds. The sky is clear.","Urban location. There is snow cover, it is very cold weather. There are many lights. We were ,on the square in the centre of the city.","Macedonia (FYROM)"
79733,GAN,80,46.342,-0.483342,38.67,2012-01-14,22:14,2012-01-14,21:14,4,,,"clear","Orion","","urban  4 streetlights","France"
79734,SQM,81,52.2451,20.9631,109.57,2012-01-14,22:44,2012-01-14,21:44,-9999,6,0.05,"1/2 of sky","Orion","1/2 of the sky","","Poland"
79735,GAN,82,45.7686,1.05462,333.13,2012-01-14,22:30,2012-01-14,21:30,7,,,"clear","Orion","N-E tiny skyglow because of a very dry wather, no clouds. I've got a sky like this twenty times a year","rural location (25 km from 200.000 hab city), no street light, no snow","France"
79736,GAN,83,52.4063,21.3317,92.63,2012-01-14,22:10,2012-01-14,21:10,-9999,,,"over 1/2 of sky","Orion","","Snow","Poland"
79737,GAN,84,45.7689,1.05471,332.94,2012-01-14,22:30,2012-01-14,21:30,7,,,"clear","Orion","N-E tiny skyglow because of a very dry weather, no clouds. I've got a sky like this twenty times a year","rural location (25 km from 200.000 hab city), no street light, no snow","France"
79738,GAN,85,45.519,-122.785,112.63,2012-01-14,19:58,2012-01-15,03:58,4,,,"clear","Orion","sky glow from Portland which is to the east.","suburban, 4 streetlights and 5 porchlights","United States - Oregon"
79739,GAN,86,51.684,-0.495699,124.34,2012-01-14,22:00,2012-01-14,22:00,3,,,"1/4 of sky","Orion","Hazy clouds low toward the Southern horizon, but clear sky overhead.  Light sky glow to the South.","Small village outside London, UK.  No snow, no street lights, 1 back porch lights & 3 lit windows in neighboring homes.  No trees or structures blocking the view.","United Kingdom"
79740,GAN,87,50.9232,7.09442,55,2012-01-14,23:26,2012-01-14,22:26,3,,,"1/4 of sky","Orion","","51107 Kln","Germany"
79741,SQM,89,52.2223,8.01004,86.84,2012-01-14,22:40,2012-01-14,21:40,5,20.2,2536,"clear","Orion","some haze over the sky","suburban, 2 streetlights, lights from neighbours","Germany"
79742,GAN,90,33.9015,-79.6966,23.75,2012-01-14,18:30,2012-01-14,23:30,2,,,"clear","Orion","","rural location, one outside halogen light.  Some pine trees.","United States - South Carolina"
79743,GAN,91,43.9308,-70.3139,84.17,2012-01-14,18:42,2012-01-14,23:42,5,,,"clear","Orion","very clear","rural very dark","United States - Maine"
79744,GAN,94,30.772,-81.5485,5.01,2012-01-14,18:46,2012-01-14,23:46,3,,,"clear","Orion","","3 street lights","United States - Georgia"
79745,GAN,95,37.7186,-78.9014,212.71,2012-01-14,18:51,2012-01-14,23:51,4,,,"clear","Orion","Clear cold night.  No clouds.  Lights from town of Scottsville behind my view.","","United States - Virginia"
79746,GAN,96,40.5968,-81.1253,331.76,2012-01-14,18:53,2012-01-14,23:53,-9999,,,"over 1/2 of sky","Orion","We had our first significant snow of the season yesterday with snow flurries and high winds continuing into the evening today.  No stars visible this evening.","Rural, snow covered , no outside lights, woods with >60% canopie cover, observation done in an open area near the pond,","United States - Ohio"
79747,GAN,97,32.8152,-79.8717,7.75,2012-01-14,18:46,2012-01-14,23:46,3,,,"clear","Orion","","","United States - South Carolina"
79748,GAN,98,28.7959,-81.5715,25.82,2012-01-14,19:16,2012-01-15,00:16,4,,,"clear","Orion","slight high haze (cold front just through)","suburban area (small hobby farms within subdivisions)     sky glow from neighboring cities to the south and west.     a couple of barn lights","United States - Florida"
79749,GAN,99,38.8655,-94.172,316.53,2012-01-14,18:19,2012-01-15,00:19,3,,,"clear","Orion","Clear night","Subarban driveway","United States - Missouri"
79750,GAN,100,32.7784,-79.97,3.41,2012-01-14,19:26,2012-01-15,00:26,3,,,"clear","Orion","","","United States - South Carolina"
79751,GAN,101,42.4255,-76.9869,500.99,2012-01-14,19:21,2012-01-15,00:21,-9999,,,"over 1/2 of sky","Orion","Sky completely overcast - however, on a clear night, the sky looks like someone threw a huge container of diamonds - our sky is fully viewable and densely covered with sparkles from the stars.","rural - 5 inches of snow on ground no street lights, no source of light","United States - New York"
79752,GAN,102,32.8547,-80.0821,4.3,2012-01-14,19:30,2012-01-15,00:30,4,,,"clear","Orion","","","United States - South Carolina"
79753,GAN,103,32.8091,-79.898,5.73,2012-01-14,19:31,2012-01-15,00:31,3,,,"clear","Orion","Cold","","United States - South Carolina"
79754,GAN,104,30.3011,-89.7696,4.82,2012-01-14,18:19,2012-01-15,00:19,4,,,"clear","Orion","Perfectly clear","Suburban. Low light sources. No visible trees","United States - Louisiana"
79755,GAN,105,32.7344,-80.242,9.99,2012-01-14,19:38,2012-01-15,00:38,3,,,"clear","Orion","","","United States - South Carolina"
79756,GAN,106,30.5047,-86.4582,5.44,2012-01-14,18:40,2012-01-15,00:40,5,,,"clear","Orion","Clear.  Low humidity.  Excellent observation conditions (which will improve later in the evening).","Suburban.  No snow.  Very dark neighborhood and looking south over a small bayou.  Excellent observation conditions - weatherwise.","United States - Florida"
79757,GAN,107,30.4349,-86.9117,4.34,2012-01-14,18:42,2012-01-15,00:42,3,,,"clear","Orion","","Suburban  A few lights from inside neighboring house  16 street lights on the street","United States - Florida"
79758,GAN,108,32.7081,-79.9639,3.81,2012-01-14,19:46,2012-01-15,00:46,3,,,"clear","Orion","","","United States - South Carolina"
79759,GAN,109,47.5476,-52.8866,166.69,2012-01-14,19:04,2012-01-14,22:34,-9999,,,"over 1/2 of sky","Orion","Sky was totally overcast(as usual)","Suburban location  Neighbors perpetual Christmas lights on deck  a few house lights  Bright Store lights far right and down hill  Street lights blocked by houses  Trees blocking 20 degrees of  Southern horizon and 30 degrees of Eastern horizon","Canada"
79760,GAN,110,35.9369,-78.9211,94.13,2012-01-14,19:43,2012-01-15,00:43,3,,,"clear","Orion","","Suburban,2 streetlights","United States - North Carolina"
79761,GAN,111,32.7994,-80.082,3.77,2012-01-14,19:51,2012-01-15,00:51,1,,,"clear","Orion","","","United States - South Carolina"
79762,GAN,112,29.5434,-98.5721,292.86,2012-01-14,18:48,2012-01-15,00:48,3,,,"clear","Orion","You can tell there is light from structures on the ground.","In an apartment complex by interstate IH-10 plenty of lights from nearby dealerships, shopping centers and USAA.","United States - Texas"
79763,GAN,113,42.0582,-71.9283,194.34,2012-01-14,19:50,2012-01-15,00:50,4,,,"1/4 of sky","Orion","","","United States - Massachusetts"
79764,GAN,114,37.22,-89.4584,140.17,2012-01-14,18:57,2012-01-15,00:57,5,,,"clear","Orion","","Rural two street lights","United States - Illinois"
79765,GAN,115,42.0752,-72.5917,18.79,2012-01-14,19:11,2012-01-15,00:11,4,,,"clear","Orion","","","United States - Massachusetts"
79766,GAN,116,27.5622,-82.5461,5.42,2012-01-14,19:52,2012-01-15,00:52,5,,,"1/2 of sky","Orion","Haze, Cloud bands moving North Slight Sky Glow.","Rural, Cloudy tonight, 1 Street Light, Open field surrounded by trees.","United States - Florida"
79767,GAN,117,-12.0256,-77.0605,104.77,2012-01-14,20:04,2012-01-15,01:04,1,,,"1/2 of sky","Orion","Haze all over Orion.","Light polluted city.","Peru"
79768,GAN,118,32.7894,-80.0518,3.7,2012-01-14,20:05,2012-01-15,01:05,3,,,"clear","Orion","","","United States - South Carolina"
79769,GAN,119,32.8199,-79.8415,5.81,2012-01-14,20:00,2012-01-15,01:00,3,,,"clear","Orion","completely clear in the suburban area  viewed from rooftop with nothing in the way","suburban clear","United States - South Carolina"
79770,GAN,120,35.7327,-78.8503,152.35,2012-01-14,20:11,2012-01-15,01:11,4,,,"1/4 of sky","Orion","I gained at least .5 mag by turning off my porch lights!    Clouds were all to the NE, E through S was completely clear","suburban on the edge of an urban area.  Thankfully all lightdomes from nearby Raleigh are to the N and W","United States - North Carolina"
79771,GAN,121,32.8199,-79.8415,5.81,2012-01-14,20:00,2012-01-15,01:00,3,,,"clear","Orion","completely clear in the suburban area  viewed from rooftop with nothing in the way","suburban clear","United States - South Carolina"
79772,GAN,122,32.8199,-79.8415,5.81,2012-01-14,20:00,2012-01-15,01:00,3,,,"clear","Orion","completely clear in the suburban area  viewed from rooftop with nothing in the way","suburban clear","United States - South Carolina"
79773,GAN,123,32.8108,-79.9922,5.08,2012-01-14,20:13,2012-01-15,01:13,2,,,"clear","Orion","","","United States - South Carolina"
79774,GAN,124,32.7995,-80.0821,3.69,2012-01-14,20:16,2012-01-15,01:16,2,,,"clear","Orion","","","United States - South Carolina"
79775,GAN,125,40.0744,-74.1055,7.15,2012-01-14,20:19,2012-01-15,01:19,3,,,"over 1/2 of sky","Orion","","suburb/rural, ni streetkights or porchlights","United States - New Jersey"
79776,GAN,126,32.7384,-79.9582,5.02,2012-01-14,20:18,2012-01-15,01:18,3,,,"clear","Orion","","suburban. 17 ligt  hts","United States - South Carolina"
79777,GAN,127,18.9602,-99.2614,1803.25,2012-01-14,19:19,2012-01-15,01:19,1,,,"1/2 of sky","Orion","","","Mexico"
79778,GAN,128,32.7891,-79.9464,3.68,2012-01-14,20:27,2012-01-15,01:27,2,,,"clear","Orion","clear, dark but  only a small number of stars are visible","urban/suburban, no snow, many streetlights","United States - South Carolina"
79779,GAN,130,38.9595,-104.714,2130.9,2012-01-14,18:32,2012-01-15,01:32,4,,,"clear","Orion","Very clear. Low humidity.","Streetlight in front at end of driveway. Only shines downward. Subdivision northeast side of Colorado Springs. Edge of city limits with open pasture land to south, east and Black Forest to the north.","United States - Colorado"
79780,GAN,131,38.9595,-104.714,2130.9,2012-01-14,18:32,2012-01-15,01:32,4,,,"clear","Orion","Very clear. Low humidity.","Streetlight in front at end of driveway. Only shines downward. Subdivision northeast side of Colorado Springs. Edge of city limits with open pasture land to south, east and Black Forest to the north.","United States - Colorado"
79781,GAN,132,18.9607,-99.2611,1798.9,2012-01-14,19:26,2012-01-15,01:26,1,,,"1/4 of sky","Orion","","Urban location near the forest. 10 streetlights nearby.","Mexico"
79782,GAN,133,43.3616,-80.3144,267.71,2012-01-14,20:32,2012-01-15,01:32,3,,,"clear","Orion","Very Clear. No Clouds at all","Mid-sized Canadian city","Canada"
79783,GAN,134,35.2765,-93.0188,227.51,2012-01-14,00:00,2012-01-14,06:00,2,,,"clear","Orion","very clear.","","United States - Arkansas"
79784,GAN,135,43.0627,-75.2855,187.47,2012-01-14,20:41,2012-01-15,01:41,-9999,,,"over 1/2 of sky","Orion","extremely cloudy","suburban  snow cover  4 lights in vicinity  many trees and structures in vicinity","United States - New York"
79785,GAN,136,43.4191,-80.5568,380,2012-01-14,20:42,2012-01-15,01:42,2,,,"clear","Orion","crystal clear night, no haze, no clouds, excellent seeing and transparency.","Suburban, urban center to the east about 5km. 8 street lights, sag-lens (non-FCO) HPS, numerous porch lights on in area.","Canada"
79786,GAN,137,44.5857,-69.864,80.28,2012-01-14,20:35,2012-01-15,01:35,5,,,"clear","Orion","Clear; Augusta, ME, sky glow to S; patchy haze/ice crystals, small cloud of it between Belt and Sirius.     Easy identification to mag 4.5; some of the mag 5s reasonably easy; other mag 5s to 5.5s identified via peripheral vision but double checked.","Rural; 4"" snow cover, ice topped. Streetlight to N 150 yrds, to SSE 200 yrds; houselights to N 50 yrds. No visual obstructions.","United States - Maine"
79787,GAN,138,32.777,-90.4367,92.17,2012-01-14,19:37,2012-01-15,01:37,4,,,"clear","Orion","skyglow(horizon)-SSE; no moon","rural; no obstructions to sky or outside light sources nearby.","United States - Mississippi"
79788,GAN,139,38.9984,-95.8927,315.12,2012-01-14,19:52,2012-01-15,01:52,4,,,"clear","Orion","Couldn't see any clouds but suspect there must of been some high cirrus reducing visibility, on a good night I can see the Orion nebula","Rural    No appreciable snow    Scattered lights miles apart    Trees near water and on hillsides","United States - Kansas"
79789,GAN,140,32.7813,-80.0029,4.95,2012-01-14,20:35,2012-01-15,01:35,3,,,"clear","Orion","","","United States - South Carolina"
79790,GAN,141,3.139,101.687,53.92,2012-01-14,22:00,2012-01-14,14:00,1,,,"1/2 of sky","Orion","Hazy atmosphere, average cloud cover.  Large amount of sky glow.","Extremely urban area, large structures.  Unlimited streetlights.  View is from an elevated position, but still at 25 stories under the glow dome. Weather and light pollution conditions are typical for this area.  High humidity, high cloud cover.","Malaysia"
79791,GAN,142,33.8518,-84.5042,295.26,2012-01-14,20:54,2012-01-15,01:54,3,,,"clear","Orion","","","United States - Georgia"
79792,GAN,143,38.8876,-77.0151,3.13,2012-01-14,20:54,2012-01-15,01:54,4,,,"1/4 of sky","Orion","Haze and sky glow in the direction of Orion.","Urban, plenty of bright  globe style streetlights. Just off of a busy DC street. Stood in the shadow of a building to make observations.","United States - District of Columbia"
79793,GAN,144,32.8057,-80.1318,2.06,2012-01-14,20:58,2012-01-15,01:58,5,,,"clear","Orion","none","suburban","United States - South Carolina"
79794,GAN,145,32.9797,-96.7387,205.84,2012-01-14,20:00,2012-01-15,02:00,4,,,"clear","Orion","slight sky glow to east, more to south","suburban, 2 streetlights blocked by trees, one within 100 feet, second over 300 feet distance","United States - Texas"
79795,GAN,146,32.7582,-80.1607,5.67,2012-01-14,21:05,2012-01-15,02:05,5,,,"clear","Orion","we turned out some of our lights inside and outside the house.","","United States - South Carolina"
79796,GAN,147,33.0294,-97.0687,187.7,2012-01-14,20:04,2012-01-15,02:04,2,,,"clear","Orion","clear tonight. cool temp at 52. been a nice day.","","United States - Texas"
79797,GAN,148,32.7465,-79.9288,3.55,2012-01-14,21:07,2012-01-15,02:07,4,,,"clear","Orion","","a few street lights were around","United States - South Carolina"
79798,GAN,149,38.8924,-104.8,1948.24,2012-01-14,19:14,2012-01-15,02:14,3,,,"clear","Orion","Clear night!","In the middle of a small-to-medium-sized college campus, with lots of artificial lights in the immediate vicinity.","United States - Colorado"
79799,GAN,150,38.7117,-77.7003,121.14,2012-01-14,21:14,2012-01-15,02:14,3,,,"clear","Orion","","","United States - Virginia"
